Escape Room Name,Address,Phone Number,URL of Escape Room,Hours of Operation,Reviews,Average Salary,Number of Employees,Opening Year,Website,Email,Google Reviews,Price Level,Rating,Type of Business,Business Hours,Google Business URL,Facebook,Twitter,Instagram
"Young, Campbell and Reed","Unit 7390 Box 5471
DPO AE 94429",+1-849-763-0123x09799,http://www.smith-morse.com/,9 AM - 8 PM,302,"$35,410",35,2004,https://www.clark.com/,phillip50@example.org,291,Inexpensive,1.1,Adventure Park,10 AM - 6 PM,http://flynn-foster.com/,https://www.bates.net/,http://cook.com/,http://www.wood.com/
"Price, Curry and Washington","4088 Preston Terrace Apt. 483
Terriburgh, AK 37790",5355397408,http://www.calderon.com/,11 AM - 5 PM,258,"$50,139",10,2001,https://www.black.com/,haley07@example.net,73,Moderate,3.6,Escape Room,9 AM - 11 PM,https://hicks.org/,http://www.jones.info/,https://www.webster-rodriguez.org/,https://www.rogers-anderson.com/
"Santana, Clay and Shannon","742 Phelps Pass
Karenmouth, VI 25734",(917)314-4134,http://www.greene.com/,10 AM - 9 PM,469,"$33,065",7,2006,https://www.moore-taylor.com/,nicole14@example.com,317,Very Expensive,2.5,Adventure Park,9 AM - 8 PM,https://www.hubbard.info/,http://gillespie.biz/,https://www.williams.org/,https://www.hall.com/
Mcgrath LLC,"0085 Foster Rapids
Moyerside, MS 78756",5876132742,http://www.marshall.biz/,9 AM - 9 PM,365,"$48,417",45,2008,http://chang-simpson.com/,ematthews@example.com,949,Expensive,4.9,Adventure Park,11 AM - 10 PM,http://www.copeland.com/,https://preston.biz/,http://carlson.com/,https://christian-wright.com/
Wilkins and Sons,"447 Richard Center
West Davidmouth, VT 21963",(745)524-5343,https://arroyo.com/,11 AM - 11 PM,284,"$37,356",24,2012,https://www.jones-ball.com/,mwarner@example.org,461,Free,4.6,Escape Room,10 AM - 10 PM,http://stark-woods.net/,http://www.taylor-sexton.com/,https://www.jefferson.com/,http://mason-wilson.com/
Price Group,"578 Trujillo Estate
Conniemouth, DC 49629",355.291.7116x61594,http://jackson-waller.net/,11 AM - 8 PM,401,"$49,466",21,2019,http://www.anderson.com/,gordonjerome@example.org,173,Very Expensive,1.2,Adventure Park,9 AM - 8 PM,http://roberts.com/,https://marquez.com/,http://www.spencer-ramirez.com/,https://flores-cabrera.com/
"Mcguire, Blake and Woods","27079 Christopher Drives Apt. 592
New Kenneth, VT 72674",+1-865-950-4895x3778,http://washington-gardner.com/,11 AM - 6 PM,45,"$31,561",47,2018,http://www.smith-watson.com/,kmiller@example.org,128,Moderate,3.0,Puzzle Room,9 AM - 6 PM,https://www.williams.com/,https://www.hubbard.net/,http://parker-snyder.com/,http://clark.com/
Martin-Salazar,"83996 Sara Throughway Apt. 524
New William, CA 20629",745-314-8939,http://flores-moreno.info/,10 AM - 8 PM,69,"$54,730",13,2000,http://stephens.info/,kristinvalenzuela@example.net,561,Moderate,4.2,Adventure Park,10 AM - 7 PM,http://www.joyce-moore.com/,https://williams.com/,http://www.martinez.org/,https://www.clarke.com/
Martinez-Glover,"661 Matthews Mountain Suite 212
Andrewland, MN 45960",001-593-978-8743x6465,https://boyd.com/,11 AM - 9 PM,84,"$54,652",35,2013,https://steele.org/,whunter@example.com,942,Moderate,3.5,Puzzle Room,10 AM - 9 PM,http://khan.com/,https://holmes-ballard.org/,http://hendricks.biz/,https://www.church-mcdonald.com/
Jackson-Ortiz,"7376 Valenzuela Extensions Apt. 535
Port Jenniferburgh, NY 06926",+1-495-329-9159x477,http://www.anderson-wheeler.info/,10 AM - 8 PM,409,"$39,942",17,2012,http://francis.com/,davidtaylor@example.net,462,Moderate,1.1,Adventure Park,11 AM - 7 PM,http://www.keller.biz/,http://williams.com/,http://www.clark-hughes.com/,https://www.adams-porter.com/
Woods-Torres,"75399 Douglas Burg Suite 765
Ochoamouth, MH 82269",528-727-9107x060,https://snyder.com/,9 AM - 5 PM,287,"$43,872",42,2016,http://santiago.com/,smithbrenda@example.com,714,Inexpensive,1.2,Adventure Park,9 AM - 6 PM,http://perez.org/,https://lindsey.biz/,https://www.nelson.com/,http://www.king.info/
Gregory PLC,"853 Craig Burg
South Hannah, MP 86913",998.686.5432x69241,https://www.schwartz.info/,9 AM - 10 PM,431,"$28,715",15,2015,http://johnson-byrd.biz/,john55@example.org,536,Free,3.5,Puzzle Room,10 AM - 11 PM,http://robinson.com/,http://gonzalez.com/,https://www.ford-gonzales.net/,http://davenport-hall.com/
Harper PLC,"00744 Morgan Drives
Doyleville, OK 36773",+1-705-580-8037x1589,https://mitchell.com/,11 AM - 6 PM,199,"$24,400",48,2021,https://giles.info/,karen79@example.com,643,Very Expensive,3.1,Adventure Park,10 AM - 10 PM,https://www.fisher.info/,http://hernandez-young.com/,https://gray.com/,https://www.benson.com/
Smith-Leon,"364 Darius Stravenue
Rossmouth, WI 10347",(539)558-6022x97637,http://www.sanchez.org/,11 AM - 5 PM,262,"$49,704",18,2005,http://daniels.net/,curtis91@example.org,241,Inexpensive,2.8,Escape Room,10 AM - 6 PM,https://nelson.net/,https://www.burke.biz/,https://www.ayers.com/,https://zimmerman-haynes.com/
"Maldonado, Alexander and Moss","2085 Kimberly Flats
Josephside, MT 78711",5693738814,http://edwards-ryan.com/,9 AM - 8 PM,30,"$44,931",18,2010,http://www.branch-molina.info/,david55@example.net,392,Free,2.4,Escape Room,11 AM - 7 PM,https://clark.biz/,http://young.com/,https://johnson.com/,https://martin-boyer.com/
Cunningham Ltd,"6857 Deborah Neck Suite 595
New Randy, OH 14957",938-832-7458x577,https://hendricks-davis.biz/,11 AM - 8 PM,267,"$54,706",7,2020,https://www.allen-franco.com/,anthony01@example.com,140,Inexpensive,4.0,Escape Room,11 AM - 6 PM,https://www.bailey.com/,http://white.net/,https://pratt.net/,https://www.jimenez-walsh.com/
Davis PLC,"29692 Jimmy Forest Suite 495
North Kennethmouth, NY 90311",711-233-7396,https://www.johnson-durham.biz/,9 AM - 8 PM,144,"$42,711",44,2003,https://www.garner-stevens.com/,mikebarber@example.com,364,Very Expensive,4.2,Escape Room,11 AM - 6 PM,https://www.miller-jensen.net/,http://hamilton.com/,https://www.parks.com/,https://www.robinson-travis.com/
"Clements, Duran and Ruiz","Unit 0709 Box 4186
DPO AA 87724",(672)280-3795,http://www.booker-jensen.com/,9 AM - 7 PM,140,"$48,505",33,2001,http://www.hodge.com/,william30@example.org,548,Very Expensive,2.5,Puzzle Room,11 AM - 6 PM,https://palmer.com/,https://www.johnson.com/,https://www.myers.info/,https://richardson.com/
"Pratt, Edwards and Thompson","609 Curtis Crest Apt. 621
Port Angela, NV 20295",(311)889-4968x932,https://myers-lawrence.com/,11 AM - 11 PM,275,"$54,376",21,2011,http://www.mcdonald.com/,lukebradshaw@example.com,519,Inexpensive,3.2,Adventure Park,9 AM - 8 PM,https://murphy-wright.info/,http://glass-horton.com/,http://james-moran.org/,http://byrd-duncan.biz/
Moore and Sons,"581 Tammy Stream Apt. 431
Hollyhaven, FM 97016",(982)341-3806,http://www.valdez-holmes.com/,11 AM - 7 PM,158,"$27,561",32,2017,https://www.barber.net/,richardscatherine@example.org,351,Free,1.2,Escape Room,10 AM - 9 PM,https://bell.com/,http://mejia.com/,https://www.adams-nguyen.net/,http://wright.com/
Miller-Hines,"45181 Anthony Forest Apt. 194
Lake Markport, ND 91328",730.915.2444,https://www.solis.net/,10 AM - 9 PM,423,"$48,258",23,2017,https://hughes.info/,rachel44@example.net,882,Free,1.5,Escape Room,9 AM - 7 PM,http://www.parker-hebert.com/,https://www.tate-boyer.biz/,https://henderson-smith.net/,https://hess-hall.com/
Dennis Inc,"876 Keller Path
South Craigborough, MO 58880",640-458-4777x9317,http://www.potts.com/,9 AM - 6 PM,326,"$33,925",15,2000,http://www.huang.biz/,millsjackie@example.com,975,Inexpensive,3.9,Escape Room,9 AM - 7 PM,https://king.biz/,https://stewart.info/,http://richards-townsend.com/,https://www.thompson.org/
Lin-Smith,"610 Smith Bypass
Port Thomasberg, AK 15541",+1-789-469-6962,https://www.warren.info/,11 AM - 9 PM,481,"$39,811",31,2022,http://www.hardin.com/,dstone@example.org,999,Expensive,4.7,Adventure Park,9 AM - 6 PM,https://www.roach.net/,http://www.prince-bell.com/,https://www.caldwell.com/,http://www.ross.net/
"Woods, Morris and Thomas","569 Kimberly Forks
Zunigaland, UT 79102",(448)583-9841x516,http://molina-turner.com/,10 AM - 11 PM,33,"$35,489",16,2000,https://www.taylor.com/,emmacharles@example.org,399,Moderate,3.3,Escape Room,9 AM - 11 PM,http://www.weber.com/,https://guzman.info/,http://fleming.com/,https://hill.biz/
Carpenter Ltd,"0890 Brittany Parkway
North Maryberg, DC 76967",507-990-7294x316,https://www.pace.info/,10 AM - 6 PM,323,"$49,707",20,2021,https://jackson.com/,brian32@example.net,365,Moderate,3.0,Escape Room,10 AM - 8 PM,https://chang.biz/,https://www.cruz.com/,https://castro-lawrence.org/,http://martinez-sims.com/
"Williamson, Adkins and Burgess","Unit 3167 Box 0913
DPO AA 51953",(861)594-6943,http://bailey.com/,9 AM - 7 PM,168,"$32,821",15,2013,http://franco.com/,kathy47@example.com,648,Inexpensive,3.0,Adventure Park,11 AM - 6 PM,https://garcia-diaz.com/,https://kelly.com/,https://www.anderson-travis.net/,https://sanders.com/
Bryant Ltd,"02746 Timothy Mountain Suite 550
Lake Jeremiah, TX 57673",5239807785,http://smith.com/,10 AM - 10 PM,258,"$41,161",50,2001,http://ayala-norris.com/,amckinney@example.org,187,Very Expensive,1.5,Escape Room,10 AM - 10 PM,https://www.wang-simmons.com/,http://curtis-miller.org/,https://www.mccullough-sawyer.com/,https://mcintyre-joseph.com/
Mcfarland-Curry,"60482 Jones Plaza
South Shanemouth, VT 35358",842.772.4397,https://www.watson.com/,9 AM - 8 PM,176,"$51,610",36,2004,http://fisher.com/,alexandersavage@example.net,347,Inexpensive,2.6,Escape Room,11 AM - 8 PM,https://holt.com/,https://www.sutton.biz/,https://www.rivera-woods.biz/,https://www.frazier.biz/
Fox LLC,"43321 Houston Row
Luistown, AZ 19864",3239803818,https://www.mooney-miller.info/,10 AM - 6 PM,374,"$34,578",5,2003,https://www.parker-lopez.com/,troy38@example.net,698,Expensive,4.3,Puzzle Room,10 AM - 11 PM,https://hamilton.biz/,https://doyle.com/,https://frost.com/,https://scott-johnson.net/
"Preston, Burton and Adams","7381 Kathryn Forge
Lake Joannaborough, ID 19266",296.316.0871x59716,https://www.franco-smith.com/,11 AM - 9 PM,21,"$34,494",15,2007,http://williams.net/,christopher12@example.net,980,Very Expensive,3.1,Puzzle Room,11 AM - 6 PM,https://brown-reeves.net/,https://www.waters-beck.com/,http://www.gates-warren.biz/,https://adams-townsend.net/
"Hester, Coleman and Yates","604 Snyder Station
Port Tinaburgh, FM 29257",+1-376-599-7384x6280,https://reeves-wright.org/,9 AM - 9 PM,352,"$47,747",30,2003,https://www.johnson.com/,lstewart@example.net,205,Very Expensive,4.5,Adventure Park,11 AM - 7 PM,http://fox.net/,http://www.green.info/,http://www.craig.com/,https://www.young-shah.com/
Atkins-Mckay,"410 Scott Skyway Suite 650
South Juliefort, PW 91368",001-251-864-1508x3812,https://davis.com/,11 AM - 10 PM,46,"$47,750",46,2011,http://bruce.info/,colleenfields@example.org,618,Very Expensive,4.5,Adventure Park,9 AM - 5 PM,http://www.smith-ward.com/,https://www.martinez.com/,http://houston.net/,https://www.shah.org/
Wood-Mcdonald,"6965 Joel Cove
South Matthew, HI 34721",910-535-3212,http://taylor.info/,9 AM - 7 PM,88,"$24,619",47,2003,https://harding.com/,cooperaustin@example.net,570,Expensive,3.9,Adventure Park,10 AM - 10 PM,https://hoover.info/,http://bell.com/,https://www.davis.info/,https://vazquez.com/
Whitney-Stone,"28031 Michael Turnpike
Danielton, GA 89270",2496397595,http://www.collins.com/,11 AM - 7 PM,201,"$45,570",17,2019,https://www.freeman.com/,randerson@example.net,661,Inexpensive,1.3,Puzzle Room,9 AM - 6 PM,http://bennett-medina.com/,http://oneal.com/,http://wagner-johnson.com/,https://www.davis.com/
Henry-Jensen,"3585 Hammond Union
Donaldville, ME 97056",001-799-539-8919x1082,https://brown.com/,9 AM - 9 PM,129,"$32,906",8,2001,http://rios.com/,stewarttami@example.org,309,Expensive,1.8,Puzzle Room,9 AM - 11 PM,http://www.holden.com/,https://www.smith.info/,https://www.irwin.com/,https://www.brown.com/
"Mitchell, Taylor and Bradford","839 Morrison Lodge
Hernandezfurt, ND 54342",534.350.2331x1087,https://www.bradley-callahan.com/,9 AM - 9 PM,306,"$28,388",20,2012,https://oconnell.com/,julie44@example.org,863,Inexpensive,4.6,Adventure Park,10 AM - 7 PM,https://fisher.com/,https://www.campbell.com/,https://www.barnes-bradshaw.com/,https://www.gill.com/
Lopez PLC,"395 Brittney Islands Suite 873
New Nicholasshire, SD 62651",+1-709-688-0857,http://deleon.com/,9 AM - 7 PM,39,"$41,269",25,2014,http://www.thompson.com/,brian00@example.com,687,Inexpensive,4.4,Puzzle Room,11 AM - 6 PM,https://cook.com/,http://miller.com/,https://bolton.com/,https://www.mcgee.com/
Jones LLC,"59625 Donald Spurs
Alexanderview, OK 58646",3166870137,http://weber.com/,9 AM - 11 PM,187,"$29,759",19,2018,http://www.york-foster.net/,robinsonkimberly@example.net,333,Very Expensive,4.2,Escape Room,10 AM - 5 PM,http://www.dixon.info/,https://www.becker-zhang.com/,https://www.charles.com/,https://rodriguez.biz/
Bates Group,"92579 Johnson Plain
Jonesberg, ME 71980",+1-985-614-7602,https://williams.com/,9 AM - 7 PM,382,"$57,755",19,2012,https://fox.net/,jennifer30@example.com,933,Very Expensive,3.3,Escape Room,9 AM - 10 PM,http://kline.com/,http://foster.com/,https://www.johnson.com/,https://www.gallagher-sullivan.com/
Singh Inc,"75827 Sellers Square Suite 715
Everettshire, MP 03784",001-243-379-7513x479,http://hart-martin.com/,10 AM - 6 PM,341,"$44,546",26,2006,https://www.briggs.com/,jon45@example.com,222,Expensive,2.0,Adventure Park,11 AM - 11 PM,https://www.hancock.com/,https://www.malone.com/,https://www.mercer.net/,https://www.fisher-johnston.biz/
"Turner, Lowery and Barber","5458 Daniel Turnpike Apt. 569
Lindsaymouth, NH 59198",594-876-3873x0543,https://myers.com/,11 AM - 6 PM,233,"$59,837",42,2021,http://www.chang.com/,vmason@example.org,443,Moderate,1.8,Escape Room,11 AM - 10 PM,http://www.glenn.com/,https://sweeney.com/,https://www.gibbs-english.info/,https://sanchez-goodman.biz/
Kelley Inc,"9138 Kelly Estates
New Davidside, NJ 12899",(519)922-7525x32591,http://li-medina.com/,10 AM - 5 PM,122,"$25,978",45,2005,https://www.hines.com/,adamssteven@example.org,704,Inexpensive,2.0,Adventure Park,11 AM - 9 PM,https://www.williams-jackson.com/,https://www.green.info/,http://www.palmer.org/,https://mccann.info/
"Vega, Smith and Robinson","7258 Isaiah Cove Suite 488
Mckenziefurt, SD 83333",+1-470-446-4378x6727,https://www.bush-downs.com/,9 AM - 7 PM,469,"$44,982",24,2007,https://johnson.com/,timothyweaver@example.net,800,Moderate,1.3,Adventure Park,9 AM - 9 PM,http://www.garcia-huynh.com/,http://smith.org/,http://jones.com/,https://www.allen.org/
Young Group,"6763 Carter Street
Elliottborough, MP 26114",820-466-4909x416,https://cooley.com/,9 AM - 6 PM,361,"$44,180",40,2011,https://welch.org/,chungchristopher@example.com,175,Expensive,3.2,Escape Room,9 AM - 11 PM,https://www.moss-moore.com/,https://walter-wiggins.com/,http://www.jones.info/,https://bird-reyes.com/
Clark PLC,"USCGC Moore
FPO AE 69895",(998)664-4659x97993,https://ray-thomas.biz/,10 AM - 7 PM,256,"$21,485",32,2014,http://www.george.biz/,rhernandez@example.com,445,Expensive,1.4,Puzzle Room,11 AM - 6 PM,https://www.adams.com/,https://cox.com/,http://www.nunez.com/,https://booker.info/
Reed Inc,"PSC 2754, Box 2931
APO AP 91799",609-835-4326x374,http://www.rodriguez-ashley.org/,10 AM - 11 PM,313,"$32,769",45,2015,http://stewart.com/,elane@example.org,969,Moderate,1.4,Adventure Park,9 AM - 7 PM,http://www.anderson.com/,https://ayers.com/,http://hernandez-nguyen.org/,https://hall.com/
"James, Deleon and Romero","2657 Vincent Plains Apt. 075
Barneshaven, DE 69018",558.356.7707x4475,https://www.brown.com/,11 AM - 6 PM,256,"$50,155",27,2011,https://www.sanders.com/,amanda76@example.net,90,Moderate,4.8,Escape Room,11 AM - 11 PM,http://jenkins.com/,https://www.jones.com/,https://shaffer.com/,https://www.adams-gonzalez.com/
Thomas Ltd,"155 Wells Center Apt. 832
South Haroldmouth, KY 72230",(837)990-2622x3911,http://larsen-mckay.com/,11 AM - 5 PM,129,"$38,827",42,2010,http://coleman-wade.com/,espinozabradley@example.net,253,Expensive,1.2,Escape Room,10 AM - 8 PM,http://www.ross-morales.biz/,https://johnson-newton.com/,http://www.mcdaniel.com/,http://anderson-cardenas.com/
Bishop Ltd,"25919 Benton Landing
Lopeztown, NE 38712",(390)622-8101x34502,http://burns.com/,11 AM - 5 PM,167,"$32,666",10,2016,https://www.stephenson-patterson.org/,richard72@example.net,554,Inexpensive,1.4,Puzzle Room,10 AM - 7 PM,http://holt.net/,http://willis.org/,https://www.gray-mueller.com/,https://black.com/
Savage Inc,"USS Cardenas
FPO AA 30562",+1-325-832-7230x03494,http://reynolds.com/,11 AM - 10 PM,411,"$40,596",10,2013,https://nguyen.net/,pmontes@example.org,351,Moderate,1.5,Puzzle Room,11 AM - 7 PM,http://www.taylor.com/,http://townsend.com/,https://ford-reyes.org/,https://gonzalez.com/
"Shelton, Rivera and Hicks","4967 Crane Neck
North Michael, NH 68478",271.410.3092x37496,http://www.smith.com/,9 AM - 10 PM,310,"$38,295",39,2021,https://www.white.biz/,darin01@example.org,995,Very Expensive,2.3,Escape Room,10 AM - 11 PM,http://www.perkins.info/,http://zamora.biz/,http://www.fritz-miller.com/,https://www.garcia.com/
Ingram Group,"1543 Bryan Ramp
North Charlesborough, MA 02922",461-621-9207x2471,https://www.doyle.biz/,10 AM - 10 PM,424,"$57,118",18,2022,http://harvey-campbell.org/,michaellevine@example.org,473,Moderate,4.4,Escape Room,9 AM - 8 PM,http://mosley.com/,http://www.smith.com/,http://martinez.info/,http://boyd.com/
Perez-Cardenas,"838 Huber Pass Apt. 910
Dustinmouth, MP 55580",468.289.1853x34670,http://mccall.biz/,11 AM - 5 PM,386,"$40,636",44,2009,https://martinez.info/,ghuff@example.org,886,Expensive,2.6,Puzzle Room,10 AM - 8 PM,http://joseph.com/,http://www.bridges-frazier.info/,https://www.smith-marshall.org/,https://www.cuevas.org/
Shields-Jacobs,"USNV Sandoval
FPO AE 55210",461.903.1580x983,http://turner.com/,11 AM - 11 PM,473,"$47,881",47,2010,https://www.martin-brown.com/,hwhite@example.org,897,Very Expensive,1.8,Escape Room,9 AM - 7 PM,https://www.cook.com/,https://conway-garcia.info/,https://www.rice-moran.com/,http://www.yoder.com/
